add/edit/delete,Address 1,City,State,Zip,Country,Data Privacy,Custom Field 1,redirectclientid
1,"32 Castle Road, Adabraka",Accra,,,Ghana,TRUE,Sports Betting Group Ghana,108563
2,"6th Floor, Westwing, Galana Plaza, Galana Road",Nairobi,,505,Kenya,TRUE,Bluejay Limited,108563
3,9 Empire Stadium Street,Gzira,,GZR 1300,Malta,TRUE,Betway Malta,108563
4,9 Empire Stadium Street,Gzira,,GZR 1300,Malta,TRUE,GM Gamimg,108563
5,"Avenida 25 de Setembro, no 1462",Maputo,,,Mozambique,TRUE,"Jogos Sociais Entreteniment, S.A",108563
6,"Flat B11 Redmenn House, Plot 3 Dideolu Estate, T.Y Danjuma Street, Victoria Island",Lagos,,101241,Nigeria,TRUE,Digi Bay Limited,108563
7,"Av Defensores de Chaves 4, Fouth Floor",Lisbon,,1000-117,Portugal,TRUE,"Digital Outsource Services, Unipessoal, Lda",108858
8,"Century City Boulevard Waterview Park, 1 Waterview Close, Century City",Cape Town,,7441,South Africa,TRUE,DigiProcessing,108563
9,"The Terraces, 13th Floor, 34 Bree Street",Cape Town,,8001,South Africa,TRUE,Digital Outsource Services,108563
10,"Waterview 2, Waterview Park, Century City",Cape Town,,7441,South Africa,TRUE,Raging River Trading (Pty) Ltd,108563
11,"Melrose Arch 3rd Floor, 34 Melrose Boulevard, Melrose North",Johannesburg,,2196,South Africa,TRUE,Osiris Trading (Pty) Ltd,108563
12,"333 Grosvenor Street Building E, 2nd Floor, Hatfield Gardens, Hatfield",Pretoria,,7441,South Africa,TRUE,Raging River Trading (Pty) Ltd,108563
13,"429 Mahando Street, Masaki, Msasani Peninsular",Dar es Salaam,,,Tanzania,TRUE,Media Bay Limited,108563
14,"Floor 3, Lugogo House, Plot42, Lugogo Bypass",Kampala,,,Uganda,TRUE,The Rangers,108563
15,"Centro 4, 20-23 Mandela Street",London,,NW1 0DU,United Kingdom,TRUE,BG Marketing Services,108563
16,"Centro 4, 20-23 Mandela Street",London,,NW1 0DU,United Kingdom,TRUE,Digital Outsource Services International Ltd,108563
17,"The Forum, 4th Floor, 74-80 Camden Street",London,,NW1 0EG,United Kingdom,TRUE,Red Interactive Ltd,108563
18,"Centro 3, 2nd Floor South, 19 Mandela Street",London,,NW1 0DU,United Kingdom,TRUE,SGHC (UK) Limited,108563
19,"Centro 4, 20-23 Mandela Street",London,,NW1 0DU,United Kingdom,TRUE,Win Technologies,108563
20,"2nd Floor Bordeaux Court, Les Echelons",St Peter Port,Guernsey,GY1 1AR,United Kingdom,TRUE,Betway Guernsey,108563
21,"Kingsway House, Havilland Street",St Peter Port,Guernsey,GY1 2QE,United Kingdom,TRUE,City Views,108563
22,"Kingsway House, Havilland Street",St Peter Port,Guernsey,GY1 2QE,United Kingdom,TRUE,Lanester Investments Limited,108563
23,"Bordeaux Court, Les Echelons",St Peter Port,Guernsey,GY1 1AR,United Kingdom,TRUE,Merryvale,108563
24,"Burleigh Manor, Peel Road",Douglas,Isle of Man,IMI 5EP,United Kingdom,TRUE,DigiProcessing (IOM) Limited,108563
25,"1st Floor, Zimbabwe House, Haile Selassie Avenue, Long Acres",Lusaka,,,Zambia,TRUE,Emerald Bay,108563
26,"147, 3500 Burke Village Promenade",Coquitlam,,BC V3B2W7,Canada,TRUE,Digital Outsource Services,108563
27,"Calle Queipo de Llano, Block 1, Floor 2º",Cueta,,51001,Spain,TRUE,Betway Spain,108563
28,"Paseo de la Castellana, Block 43",Madrid,,28046,Spain,TRUE,Win Technologies Spain,108563
29,Breite Strasse 3,Düsseldorf,,40213,Germany,TRUE,BW Services GmbH,108563
