Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,Australia - Maxhubs,,Australia - Maxhubs,Australia - Maxhubs,,,Australia,Asia Pacific - Australia,,Sitel,MAXhubs,Asia Pacific,Australia,TRUE,,,
,Australia - Virtual,,Australia - Virtual,Australia - Virtual,,,Australia,Asia Pacific - Australia,,Sitel,Virtual,Asia Pacific,Australia,TRUE,,,asdf
,משהו שכתוב בעברית,,,,,,,,,,,,,,,,
,Barra Funda,,Rua Achilles Orlando Curtolo 499 - Barra Funda,Sao Paulo,,01144-080,Brazil,LATAM - Brazil,,Sitel,Call Center,LATAM,South America,TRUE,,,
,Brazil - Maxhubs,,Brazil - Maxhubs,Brazil - Maxhubs,,,Brazil,LATAM - Brazil,TRUE,Sitel,MAXhubs,LATAM,South America,TRUE,,,
,Brazil - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Brazil - Other Locations,,,Brazil,LATAM - Brazil,FALSE,Sitel,Other,LATAM,South America,TRUE,,,
,Brazil - Virtual,,Brazil - Virtual,Brazil - Virtual,,,Brazil,LATAM - Brazil,FALSE,Sitel,Virtual,LATAM,South America,TRUE,,,
delete,Bulgaria - Maxhubs,,Bulgaria - Maxhubs,Bulgaria - Maxhubs,,,Bulgaria,EMEA - Bulgaria,FALSE,Sitel,MAXhubs,EMEA,GEE,TRUE,,,
,Bulgaria - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Bulgaria - Other Locations,,,Bulgaria,EMEA - Bulgaria,FALSE,Sitel,Other,EMEA,GEE,TRUE,,,
,Bulgaria - Virtual,,Bulgaria - Virtual,Bulgaria - Virtual,,,Bulgaria,EMEA - Bulgaria,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Sofia,,"55 Nikola Vapzarov blvd. Expo 2000, reception 3",Sofia,,,Bulgaria,EMEA - Bulgaria,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Varna,,"Varna (Mall), 9009 Varna,186 Vladislav Varnenchik blvd",Varna,,9009,Bulgaria,EMEA - Bulgaria,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Canada - Maxhubs,,Canada - Maxhubs,Canada - Maxhubs,,,Canada,North America - Canada,FALSE,Sitel,MAXhubs,North America,Northeast,TRUE,,,
,Canada - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Canada - Other Locations,,,Canada,North America - Canada,FALSE,Sitel,Other,North America,Northeast,TRUE,,,
,Canada - Virtual,,Canada - Virtual,Canada - Virtual,,,Canada,North America - Canada,FALSE,Sitel,Virtual,North America,Northeast,TRUE,,,
,St Catharines,,333 Ontario St,St Catharines,ON,,Canada,North America - Canada,FALSE,Sitel,Call Center,North America,Northeast,TRUE,,,
,St. John,,"120 McDonald St, Saint John",Saint John,NB,,Canada,North America - Canada,FALSE,Sitel,Call Center,North America,Northeast,TRUE,,,
delete,Baranquilla,,"Carrera 53 No. 106-280 Torre B , piso 14- Oficinas 14ª- 14, Centro Empresarial Buena Vista, Barranquilla",Atlántico,,,Colombia,LATAM - Colombia,FALSE,Sitel,MAXhubs,LATAM,South America,TRUE,,,
,Cali Colombia,,CALLE 22 N # 2N 60 Barrio PILOTO,Cali,,,Colombia,LATAM - Colombia,FALSE,Sitel,Call Center,LATAM,South America,TRUE,,,
,Calle 143,,Calle 143 No 45 50 Bogota colombia,Bogota,,,Colombia,LATAM - Colombia,FALSE,Sitel,Call Center,LATAM,South America,TRUE,,,
,Calle 165,,Calle 165 No 45-46 Piso 4,Bogota,,,Colombia,LATAM - Colombia,FALSE,Sitel,Call Center,LATAM,South America,TRUE,,,
,Colombia - Maxhubs,,Colombia - Maxhubs,Colombia - Maxhubs,,,Colombia,LATAM - Colombia,FALSE,Sitel,MAXhubs,LATAM,South America,TRUE,,,
,Colombia - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Colombia - Other Locations,,,Colombia,LATAM - Colombia,USA,Sitel,Other,LATAM,South America,TRUE,,,
,Colombia - Virtual,,Colombia - Virtual,Colombia - Virtual,,,Colombia,LATAM - Colombia,FALSE,Sitel,Virtual,EMEA,South America,TRUE,,,
,Copenhagen,,"Sluseholmen 2, 2450 København",Copenhagen,,,Denmark,EMEA - Denmark,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Denmark - Maxhubs,,Denmark - Maxhubs,Denmark - Maxhubs,,,Denmark,EMEA - Denmark,FALSE,Sitel,MAXhubs,EMEA,UKIN,TRUE,,,
,Denmark - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Denmark - Other Locations,,,Denmark,EMEA - Denmark,FALSE,Sitel,Other,EMEA,BENN,TRUE,,,
,Denmark - Virtual,,Denmark - Virtual,Denmark - Virtual,,,Denmark,EMEA - Denmark,FALSE,Sitel,Virtual,EMEA,BENN,,,,
,Sonderborg,,"Damvang 2, 6400 Sønderborg, Denmark",Sønderborg,,,Denmark,EMEA - Denmark,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,BLOIS,,"ZAC des Guignières, 21 rue des Arches,BP 4321",BLOIS,,41043,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,CLERMONT-FERRAND,,"Le Copernic, Zone de Bois Joli",COURNON D'AUVERGNE,,63800,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,France - Maxhubs,,France - Maxhubs,France - Maxhubs,,,France,EMEA - France,FALSE,Sitel,MAXhubs,EMEA,FRM,TRUE,,,
,France - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers, any new sites or any other Sitel Group offices",France - Other Locations,,,France,EMEA - France,FALSE,Sitel,Other,EMEA,FRM,TRUE,,,
delete,France - Virtual,,France - Virtual,France - Virtual,,,France,EMEA - France,FALSE,Sitel,Virtual,EMEA,FRM,TRUE,,,
,La Rochelle,,ZI des 4 Chevaliers,Perigny,,,France,EMEA - France,FALSE,Sitel,Call Center,EMEA,FRM,TRUE,,,
,NANCY,,"Stanilas Plaza, 16/18 Boulevard de la Mothe",NANCY,,54000,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,PARIS HAUSSMANN,,50/52 Boulevard Haussmann,PARIS,,75009,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,PAU,,"Pau Cité Multimédia, 1 rue Ada Byron",PAU,,64000,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,ROMAINVILLE,,"Quadrium Nord -, 4ème étage, 110 Avenue Gaston Roussel",ROMAINVILLE,,93230,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,ROUEN,,R2-R3 - 12 rue Ernest Renan CS71002,SAINT ETIENNE DU ROUVRAY,,76801,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
,SAINT-ETIENNE,,Parc Technologique Métrotech Domaine du Colombier,ST JEAN BONNEFOND,,42650,France,EMEA - France,FALSE,Acticall,Call Center,EMEA,FRM,TRUE,,,
