Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,Australia - Maxhubs,,Australia - Maxhubs,Australia - Maxhubs,,="",Australia,Asia Pacific - Australia,True,Sitel,MAXhubs,Asia Pacific,Australia
,Australia - Virtual,,Australia - Virtual,Australia - Virtual,,="",Australia,Asia Pacific - Australia,True,Sitel,Virtual,Asia Pacific,Australia
,Barra Funda,,Rua Achilles Orlando Curtolo 499 - Barra Funda,Sao Paulo,,="01144-080",Brazil,LATAM - Brazil,True,Sitel,Call Center,LATAM,South America
,Brazil - Maxhubs,,Brazil - Maxhubs,Brazil - Maxhubs,,="",Brazil,LATAM - Brazil,True,Sitel,MAXhubs,LATAM,South America
,Brazil - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Brazil - Other Locations,,="",Brazil,LATAM - Brazil,True,Sitel,Other,LATAM,South America
,Brazil - Virtual,,Brazil - Virtual,Brazil - Virtual,,="",Brazil,LATAM - Brazil,True,Sitel,Virtual,LATAM,South America
,Bulgaria - Maxhubs,,Bulgaria - Maxhubs,Bulgaria - Maxhubs,,="",Bulgaria,EMEA - Bulgaria,True,Sitel,MAXhubs,EMEA,GEE
,Bulgaria - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Bulgaria - Other Locations,,="",Bulgaria,EMEA - Bulgaria,True,Sitel,Other,EMEA,GEE
,Bulgaria - Virtual,,Bulgaria - Virtual,Bulgaria - Virtual,,="",Bulgaria,EMEA - Bulgaria,True,Sitel,Virtual,EMEA,GEE
,Sofia,,"55 Nikola Vapzarov blvd. Expo 2000, reception 3",Sofia,,="",Bulgaria,EMEA - Bulgaria,True,Sitel,Call Center,EMEA,GEE
,Varna,,"Varna (Mall), 9009 Varna,186 Vladislav Varnenchik blvd",Varna,,="09009",Bulgaria,EMEA - Bulgaria,True,Sitel,Call Center,EMEA,GEE
,Canada - Maxhubs,,Canada - Maxhubs,Canada - Maxhubs,,="",Canada,North America - Canada,True,Sitel,MAXhubs,North America,Northeast
,Canada - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Canada - Other Locations,,="",Canada,North America - Canada,True,Sitel,Other,North America,Northeast
,Canada - Virtual,,Canada - Virtual,Canada - Virtual,,="",Canada,North America - Canada,True,Sitel,Virtual,North America,Northeast
,St Catharines,,333 Ontario St,St Catharines,ON,="",Canada,North America - Canada,True,Sitel,Call Center,North America,Northeast
,St. John,,"120 McDonald St, Saint John",Saint John,NB,="",Canada,North America - Canada,True,Sitel,Call Center,North America,Northeast
,Baranquilla,,"Carrera 53 No. 106-280 Torre B , piso 14- Oficinas 14ª- 14, Centro Empresarial Buena Vista, Barranquilla",Atlántico,,="",Colombia,LATAM - Colombia,True,Sitel,MAXhubs,LATAM,South America
,Cali Colombia,,CALLE 22 N # 2N 60 Barrio PILOTO,Cali,,="",Colombia,LATAM - Colombia,True,Sitel,Call Center,LATAM,South America
,Calle 143,,Calle 143 No 45 50 Bogota colombia,Bogota,,="",Colombia,LATAM - Colombia,True,Sitel,Call Center,LATAM,South America
,Calle 165,,Calle 165 No 45-46 Piso 4,Bogota,,="",Colombia,LATAM - Colombia,True,Sitel,Call Center,LATAM,South America
,Colombia - Maxhubs,,Colombia - Maxhubs,Colombia - Maxhubs,,="",Colombia,LATAM - Colombia,True,Sitel,MAXhubs,LATAM,South America
,Colombia - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Colombia - Other Locations,,="",Colombia,LATAM - Colombia,True,Sitel,Other,LATAM,South America
,Colombia - Virtual,,Colombia - Virtual,Colombia - Virtual,,="",Colombia,LATAM - Colombia,True,Sitel,Virtual,EMEA,South America
,Copenhagen,,"Sluseholmen 2, 2450 København",Copenhagen,,="",Denmark,EMEA - Denmark,True,Sitel,Call Center,EMEA,UKIN
,Denmark - Maxhubs,,Denmark - Maxhubs,Denmark - Maxhubs,,="",Denmark,EMEA - Denmark,True,Sitel,MAXhubs,EMEA,UKIN
,Denmark - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Denmark - Other Locations,,="",Denmark,EMEA - Denmark,True,Sitel,Other,EMEA,BENN
,Denmark - Virtual,,Denmark - Virtual,Denmark - Virtual,,="",Denmark,EMEA - Denmark,True,Sitel,Virtual,EMEA,BENN
,Sonderborg,,"Damvang 2, 6400 Sønderborg, Denmark",Sønderborg,,="",Denmark,EMEA - Denmark,True,Sitel,Call Center,EMEA,UKIN
,BLOIS,,"ZAC des Guignières, 21 rue des Arches,BP 4321",BLOIS,,="41043",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,CLERMONT-FERRAND,,"Le Copernic, Zone de Bois Joli",COURNON D'AUVERGNE,,="63800",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,France - Maxhubs,,France - Maxhubs,France - Maxhubs,,="",France,EMEA - France,True,Sitel,MAXhubs,EMEA,FRM
,France - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers, any new sites or any other Sitel Group offices",France - Other Locations,,="",France,EMEA - France,True,Sitel,Other,EMEA,FRM
,France - Virtual,,France - Virtual,France - Virtual,,="",France,EMEA - France,True,Sitel,Virtual,EMEA,FRM
,La Rochelle,,ZI des 4 Chevaliers,Perigny,,="",France,EMEA - France,True,Sitel,Call Center,EMEA,FRM
,NANCY,,"Stanilas Plaza, 16/18 Boulevard de la Mothe",NANCY,,="54000",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,PARIS HAUSSMANN,,50/52 Boulevard Haussmann,PARIS,,="75009",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,PAU,,"Pau Cité Multimédia, 1 rue Ada Byron",PAU,,="64000",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
,ROMAINVILLE,,"Quadrium Nord -, 4ème étage, 110 Avenue Gaston Roussel",ROMAINVILLE,,="93230",France,EMEA - France,True,Acticall,Call Center,EMEA,FRM
